iter	Passed	Remaining
0	7	2389
1	14	2216
2	22	2225
3	30	2223
4	36	2137
5	44	2198
6	53	2245
7	60	2219
8	70	2266
9	77	2258
10	85	2253
11	92	2219
12	100	2209
13	106	2183
14	114	2174
15	121	2165
16	128	2141
17	135	2116
18	141	2099
19	149	2091
20	157	2098
21	166	2109
22	175	2116
23	186	2146
24	202	2232
25	215	2269
26	226	2289
27	234	2281
28	242	2265
29	251	2260
30	258	2243
31	269	2254
32	276	2239
33	284	2226
34	291	2209
35	299	2194
36	306	2178
37	313	2164
38	320	2145
39	326	2120
40	333	2106
41	340	2089
42	347	2079
43	353	2056
44	361	2048
45	369	2039
46	375	2023
47	381	2004
48	390	1999
49	398	1991
50	404	1975
51	411	1964
52	417	1945
53	425	1936
54	432	1926
55	438	1910
56	445	1898
57	451	1882
58	457	1870
59	464	1856
60	471	1846
61	478	1835
62	485	1827
63	493	1821
64	503	1820
65	511	1813
66	521	1814
67	532	1816
68	542	1815
69	550	1808
70	557	1799
71	566	1793
72	573	1782
73	579	1770
74	588	1765
75	597	1760
76	603	1748
77	613	1746
78	622	1741
79	630	1733
80	635	1719
81	645	1716
82	652	1705
83	656	1686
84	659	1668
85	662	1649
86	666	1631
87	670	1614
88	673	1596
89	677	1579
90	680	1563
91	684	1546
92	687	1530
93	690	1513
94	694	1497
95	697	1482
96	701	1467
97	704	1452
98	707	1437
99	711	1422
100	715	1408
101	718	1394
102	721	1380
103	725	1366
104	728	1352
105	731	1339
106	735	1326
107	738	1313
108	741	1299
109	743	1284
110	748	1274
111	755	1268
112	763	1263
113	770	1256
114	777	1250
115	783	1243
116	790	1235
117	798	1231
118	805	1225
119	813	1220
120	820	1214
121	826	1205
122	833	1199
123	841	1194
124	848	1187
125	853	1179
126	860	1171
127	867	1166
128	874	1159
129	881	1152
130	888	1146
131	896	1140
132	904	1135
133	912	1129
134	920	1124
135	928	1119
136	936	1113
137	944	1108
138	950	1101
139	956	1093
140	962	1085
141	968	1077
142	974	1069
143	981	1063
144	988	1057
145	996	1050
146	1002	1043
147	1008	1035
148	1015	1029
149	1022	1022
150	1029	1015
151	1037	1009
152	1044	1003
153	1051	997
154	1059	990
155	1066	984
156	1074	978
157	1081	972
158	1088	965
159	1095	958
160	1102	952
161	1108	943
162	1115	937
163	1123	931
164	1130	924
165	1138	918
166	1145	912
167	1151	904
168	1158	897
169	1164	890
170	1171	884
171	1178	877
172	1185	870
173	1193	864
174	1201	857
175	1208	851
176	1216	845
177	1223	838
178	1231	832
179	1237	824
180	1243	817
181	1251	811
182	1258	804
183	1265	797
184	1275	792
185	1282	786
186	1290	780
187	1297	773
188	1309	768
189	1316	762
190	1323	755
191	1329	748
192	1336	741
193	1344	734
194	1351	727
195	1359	721
196	1364	713
197	1370	706
198	1376	698
199	1380	690
200	1384	681
201	1388	673
202	1392	665
203	1396	657
204	1400	648
205	1404	640
206	1408	632
207	1411	624
208	1415	616
209	1419	608
210	1423	600
211	1427	592
212	1430	584
213	1437	577
214	1444	571
215	1450	564
216	1456	556
217	1463	550
218	1469	543
219	1476	537
220	1484	530
221	1492	524
222	1496	516
223	1500	509
224	1504	501
225	1508	493
226	1514	487
227	1521	480
228	1528	474
229	1537	467
230	1543	460
231	1548	453
232	1556	447
233	1562	440
234	1569	433
235	1576	427
236	1583	421
237	1590	414
238	1597	407
239	1604	401
240	1612	394
241	1619	388
242	1627	381
243	1634	375
244	1641	368
245	1649	361
246	1656	355
247	1664	348
248	1672	342
249	1680	336
250	1688	329
251	1694	322
252	1702	316
253	1709	309
254	1718	303
255	1729	297
256	1737	290
257	1744	283
258	1749	277
259	1757	270
260	1764	263
261	1771	256
262	1779	250
263	1789	244
264	1796	237
265	1802	230
266	1809	223
267	1815	216
268	1823	210
269	1830	203
270	1837	196
271	1845	190
272	1853	183
273	1859	176
274	1867	169
275	1876	163
276	1883	156
277	1890	149
278	1897	142
279	1905	136
280	1912	129
281	1918	122
282	1926	115
283	1934	108
284	1942	102
285	1950	95
286	1959	88
287	1965	81
288	1973	75
289	1980	68
290	1987	61
291	1995	54
292	2001	47
293	2006	40
294	2014	34
295	2020	27
296	2027	20
297	2034	13
298	2041	6
299	2048	0
